1500+123|0.0986|  341|3         |                                        
1500-208|0.1380|   32|2         |                         ; data corrupt not used
1500+208|0.0911|  160|3         |                                        
1500-298|0.1394|   39|2         |                         ; data corrupt not used
1500+298|0.0669|  292|3         |                                        
1500+398|0.0622|   96|3         |                                        
1500+517|0.0672|  431|2         |                                        
1500+690|0.0730|  472|2         |                                        
1530+000|0.1047|  244|3         |                                        
1530-082|0.0976|   80|3         |                                        
1530+082|0.0765|  934|3         |                                        
1530-166|0.0999|   67|2         |                                        
1530+166|0.0778|  169|3         |                                        
1530-253|0.2039|   23|2         |                         ; data corrupt not used
1530+253|0.0900|  286|3         |                                        
1530+346|0.0660|  259|3         |                                        
1530+453|0.0729|  129|3         |                                        
1530+588|0.0934|  178|3         |                                        
1600-041|0.0969|  286|3         |                                        
1600+041|0.0927|  499|3         |                                        
1600-123|0.0957|   96|3         |                                        
1600+123|0.0802|   99|brt,3     |Hercules A   substracted                
1600-208|0.2036|   52|3         |                         ; data corrupt not used
1600+208|0.0833|  271|3         |                                        
1600-298|0.1854|   62|2         |                         ; data corrupt not used
1600+298|0.0636|  200|3         |                                        
1600+398|0.0711|  495|3         |                                        
1600+517|0.0590|  157|3         |                                        
1600+639|0.1015|  373|3         |                                        
1600+758|0.0802|  184|3         |                                        
1630+000|0.1020|  812|brt,3     |Hercules A   substracted                
1630-082|0.0998|  143|brt,3     |Hercules A   substracted                
1630+082|0.0880| 1773|brt,2     |Hercules A   substracted                
1630-166|0.1062|   99|3         |                                        
1630+166|0.1486|    8|brt,2     |Hercules A   substracted ; data corrupt not used
1630-253|0.2756|   33|3         |                         ; data corrupt not used
1630+253|0.0805|  242|3         |                                        
1630+346|0.0618|  529|2         |                                        
1630+453|0.0837|  333|2         |                                        
1630+588|0.0551|  181|3         |                                        
1700-041|0.1218|  395|brt,3     |Hercules A   substracted                
1700+041|0.1851| 1684|brt,3     |Hercules A   substracted                
1700-123|0.0817|   70|3         |                                        
1700+123|0.0848| 1105|brt,2     |Hercules A   substracted                
1700-208|0.0992|  103|3         |                                        
1700+208|0.0972|   88|3         |                                        
1700-298|0.2413|   90|3         |                         ; data corrupt not used
1700+298|0.0653|  177|3         |                                        
1700+398|0.1147|  173|2         |                                        
1700+517|0.0712|  197|3         |                                        
1700+690|0.0632|  283|3         |                                        
1730+000|0.1662|  680|3         |                                        
1730-082|0.1153|  334|2         |                                        
1730+082|0.1296|  114|3         |                                        
1730-166|0.1045|  128|3         |                                        
1730+166|0.1012|  192|3         |                                        
1730-253|0.3237|   47|2         |                         ; data corrupt not used
1730+253|0.0722|  105|3         |                                        
1730+346|0.0599|  161|3         |                                        
1730+453|0.1360|  102|2         |                                        
1730+588|0.0695|  197|3         |                                        
1800-041|0.1069|   72|3         |                                        
1800+041|0.1152|   87|3         |                                        
1800-123|0.1421|  120|3         |                         ; data corrupt not used
1800+123|0.0907|  391|3         |                                        
1800-208|0.3702|   45|3         |                         ; data corrupt not used
1800+208|0.0869|   81|3         |                                        
1800-298|0.3288|   87|2         |                         ; data corrupt not used
1800+298|0.0737|  129|3         |                                        
1800+398|0.0891|   96|3         |                                        
1800+517|0.1085|  564|3         |                                        
1800+639|0.0568|  164|3         |                                        
1800+726|0.0676|  196|2         |                                        
1800+815|0.0638|  535|3         |                                        
1830+000|0.1315|   88|2         |                                        
1830-082|0.1277|   54|3         |                                        
1830+082|0.1093|  289|2         |                                        
1830-166|0.3975|   12|2         |                         ; data corrupt not used
1830+166|0.0807|  138|3         |                                        
1830-253|0.1884|   76|2         |                         ; data corrupt not used
1830+253|0.0832|  145|3         |                                        
1830+346|0.0676|  243|brt,2     |Cygnus A     substracted                
1830+453|0.0771| 1124|brt,3     |Cygnus A     substracted                
1830+588|0.0684|  238|3         |                                        
1900-041|0.4023|   30|2         |                                        
1900+041|0.2300|   62|2         |                                        
1900-123|0.1550|   32|3         |                         ; data corrupt not used
1900+123|0.0980|  356|3         |                                        
1900-208|0.1597|  180|2         |                         ; data corrupt not used
1900+208|0.0832|   84|2         |                                        
1900-298|0.1506|   98|3         |                         ; data corrupt not used
1900+298|0.0751|  141|brt,3     |Cygnus A     substracted                
1900+398|0.0881|   65|brt,2     |Cygnus A     substracted                
1900+517|0.0616|  895|brt,3     |Cygnus A     substracted                
1900+690|0.0740|   99|2         |                                        
1930+000|0.1216|  104|3         |                                        
1930-082|0.1369|  120|peel,2    |                                        
1930+082|0.1026|  160|3         |                                        
1930-166|0.2205|  165|2         |                         ; data corrupt not used
1930+166|0.0976|   79|3         |                                        
1930-253|0.2792|   70|2         |                         ; data corrupt not used
1930+253|0.0731|  147|brt,3     |Cygnus A     substracted                
1930+346|0.2246| 7163|brt,2     |Cygnus A     substracted                
1930+453|0.2129|12623|brt,2     |Cygnus A     substracted                
1930+588|0.0647|  476|brt,2     |Cygnus A     substracted                
2000-041|0.1354|  107|3         |                                        
2000+041|0.1212|  170|3         |                                        
2000-123|0.1717|   94|2         |                         ; data corrupt not used
2000+123|0.1064|  120|3         |                                        
2000-208|0.1909|   47|3         |                         ; data corrupt not used
2000+208|0.0792| 1221|brt,2     |Cygnus A     substracted                
2000-298|0.1379|   60|3         |                         ; data corrupt not used
2000+298|0.1015|  374|brt,3     |Cygnus A     substracted                
2000+398|1.4387| 6059|brt,nvss,3|Cygnus A     substracted                
2000+517|0.0826|  197|brt,3     |Cygnus A     substracted                
2000+639|0.0721|  269|2         |                                        
2000+758|0.0878|  425|2         |                                        
2030+000|0.0768|   83|3         |                                        
2030-082|0.1189|   59|3         |                                        
2030+082|0.0950|  286|3         |                                        
2030-166|0.1707|  111|2         |                         ; data corrupt not used
2030+166|0.0996|  484|3         |                                        
2030-253|0.1624|   83|2         |                         ; data corrupt not used
2030+253|0.0846| 1325|brt,3     |Cygnus A     substracted                
2030+346|0.1385| 9922|brt,2     |Cygnus A     substracted                
2030+453|0.1545|16679|brt,3     |Cygnus A     substracted                
2030+588|0.0664|  247|brt,3     |Cygnus A     substracted                
